ts,1492,1491,1493,diff_FlowValve008_1492 - 1491,diff_FlowValve008_1492 - 1493
2020-11-10 00:24:09,111.8,515.4,481.0,-403.59999999999997,-369.2
2020-11-10 00:24:10,111.8,709.3,676.6,-597.5,-564.8000000000001
2020-11-10 00:24:11,111.8,899.2,868.1,-787.4000000000001,-756.3000000000001
2020-11-10 00:24:12,111.8,1064.8,1040.3,-953.0,-928.5
2020-11-10 00:24:13,111.8,1184.3,1169.1,-1072.5,-1057.3
2020-11-10 00:24:14,111.8,1250.6,1250.0,-1138.8,-1138.2
2020-11-10 00:24:15,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:16,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:17,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:18,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:19,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:20,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:21,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:25,111.3,508.0,471.0,-396.7,-359.7
2020-11-10 00:24:26,111.3,695.0,657.3,-583.7,-546.0
2020-11-10 00:24:27,111.3,884.3,844.4,-773.0,-733.1
2020-11-10 00:24:28,111.3,1062.3,1027.5,-951.0,-916.2
2020-11-10 00:24:29,111.3,1192.9,1158.2,-1081.6000000000001,-1046.9
2020-11-10 00:24:30,111.3,1258.8,1258.0,-1147.5,-1146.7
2020-11-10 00:24:31,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:32,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:33,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:34,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:35,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:36,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:37,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:41,115.3,506.2,470.3,-390.9,-355.0
2020-11-10 00:24:42,115.3,695.7,660.8,-580.4000000000001,-545.5
2020-11-10 00:24:43,115.3,885.6,852.2,-770.3000000000001,-736.9000000000001
2020-11-10 00:24:44,115.3,1061.6,1032.9,-946.3,-917.6000000000001
2020-11-10 00:24:45,115.3,1188.0,1163.7,-1072.7,-1048.4
2020-11-10 00:24:46,115.3,1257.5,1256.3,-1142.2,-1141.0
2020-11-10 00:24:47,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:48,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:49,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:50,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:51,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:52,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:53,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:57,113.1,505.5,471.0,-392.4,-357.9
2020-11-10 00:24:58,113.1,694.6,661.5,-581.5,-548.4
2020-11-10 00:24:59,113.1,885.0,853.5,-771.9,-740.4
2020-11-10 00:25:00,113.1,1062.0,1034.5,-948.9,-921.4
2020-11-10 00:25:01,113.1,1186.9,1164.2,-1073.8000000000002,-1051.1000000000001
2020-11-10 00:25:02,113.1,1257.5,1255.3,-1144.4,-1142.2
2020-11-10 00:25:03,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:04,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:05,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:06,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:07,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:08,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:09,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:13,116.0,500.8,463.0,-384.8,-347.0
2020-11-10 00:25:14,116.0,689.4,652.8,-573.4,-536.8
2020-11-10 00:25:15,116.0,877.7,842.1,-761.7,-726.1
2020-11-10 00:25:16,116.0,1056.4,1026.0,-940.4000000000001,-910.0
2020-11-10 00:25:17,116.0,1183.1,1157.3,-1067.1,-1041.3
2020-11-10 00:25:18,116.0,1256.8,1256.2,-1140.8,-1140.2
2020-11-10 00:25:19,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:20,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:21,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:22,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:23,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:24,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:25,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:29,111.0,499.4,457.8,-388.4,-346.8
2020-11-10 00:25:30,111.0,689.4,648.2,-578.4,-537.2
2020-11-10 00:25:31,111.0,879.3,838.5,-768.3,-727.5
2020-11-10 00:25:32,111.0,1058.3,1023.1,-947.3,-912.1
2020-11-10 00:25:33,111.0,1183.5,1153.3,-1072.5,-1042.3
2020-11-10 00:25:34,111.0,1257.1,1256.5,-1146.1,-1145.5
2020-11-10 00:25:35,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:36,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:37,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:38,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:39,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:40,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:41,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:45,113.9,495.3,455.2,-381.4,-341.29999999999995
2020-11-10 00:25:46,113.9,683.7,646.6,-569.8000000000001,-532.7
2020-11-10 00:25:47,113.9,873.9,837.2,-760.0,-723.3000000000001
2020-11-10 00:25:48,113.9,1054.4,1023.0,-940.5000000000001,-909.1
2020-11-10 00:25:49,113.9,1180.1,1154.0,-1066.1999999999998,-1040.1
2020-11-10 00:25:50,113.9,1256.8,1257.3,-1142.8999999999999,-1143.3999999999999
2020-11-10 00:25:51,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:25:52,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:25:53,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:25:54,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:25:55,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:25:56,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:25:57,113.9,1257.3,1259.0,-1143.3999999999999,-1145.1
2020-11-10 00:26:01,114.1,495.4,455.5,-381.29999999999995,-341.4
2020-11-10 00:26:02,114.1,683.9,646.5,-569.8,-532.4
2020-11-10 00:26:03,114.1,874.5,838.1,-760.4,-724.0
2020-11-10 00:26:04,114.1,1052.7,1021.5,-938.6,-907.4
2020-11-10 00:26:05,114.1,1180.3,1154.4,-1066.2,-1040.3000000000002
2020-11-10 00:26:06,114.1,1257.4,1256.8,-1143.3000000000002,-1142.7
2020-11-10 00:26:07,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:08,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:09,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:10,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:11,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:12,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:13,114.1,1257.6,1258.7,-1143.5,-1144.6000000000001
2020-11-10 00:26:17,113.0,489.8,448.8,-376.8,-335.8
2020-11-10 00:26:18,113.0,681.8,641.3,-568.8,-528.3
2020-11-10 00:26:19,113.0,871.0,831.6,-758.0,-718.6
2020-11-10 00:26:20,113.0,1053.1,1019.7,-940.0999999999999,-906.7
2020-11-10 00:26:21,113.0,1208.0,1183.0,-1095.0,-1070.0
2020-11-10 00:26:22,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:26:23,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:26:24,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:26:25,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:26:26,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:26:27,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:26:28,113.0,1257.8,1257.9,-1144.8,-1144.9
2020-11-10 00:32:51,113.5,484.9,449.7,-371.4,-336.2
2020-11-10 00:32:52,113.5,677.2,644.7,-563.7,-531.2
2020-11-10 00:32:53,113.5,870.2,836.9,-756.7,-723.4
2020-11-10 00:32:54,113.5,1052.8,1022.9,-939.3,-909.4
2020-11-10 00:32:55,113.5,1182.9,1153.5,-1069.4,-1040.0
2020-11-10 00:32:56,113.5,1257.9,1257.0,-1144.4,-1143.5
2020-11-10 00:32:57,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:32:58,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:32:59,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:33:00,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:33:01,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:33:02,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:33:03,113.5,1257.9,1258.8,-1144.4,-1145.3
2020-11-10 00:33:07,112.5,482.5,445.3,-370.0,-332.8
2020-11-10 00:33:08,112.5,673.3,636.8,-560.8,-524.3
2020-11-10 00:33:09,112.5,861.6,827.2,-749.1,-714.7
2020-11-10 00:33:10,112.5,1044.8,1016.0,-932.3,-903.5
2020-11-10 00:33:11,112.5,1177.6,1148.4,-1065.1,-1035.9
2020-11-10 00:33:12,112.5,1257.8,1257.0,-1145.3,-1144.5
2020-11-10 00:33:13,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:14,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:15,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:16,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:17,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:18,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:19,112.5,1258.5,1258.9,-1146.0,-1146.4
2020-11-10 00:33:23,114.8,481.2,440.7,-366.4,-325.9
2020-11-10 00:33:24,114.8,670.8,632.1,-556.0,-517.3000000000001
2020-11-10 00:33:25,114.8,861.1,823.5,-746.3000000000001,-708.7
2020-11-10 00:33:26,114.8,1043.4,1011.8,-928.6000000000001,-897.0
2020-11-10 00:33:27,114.8,1174.1,1144.4,-1059.3,-1029.6000000000001
2020-11-10 00:33:28,114.8,1257.3,1257.4,-1142.5,-1142.6000000000001
2020-11-10 00:33:29,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:33:30,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:33:31,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:33:32,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:33:33,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:33:34,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:33:35,114.8,1258.7,1259.3,-1143.9,-1144.5
2020-11-10 00:41:10,702.1,1005.3,0.0,-303.19999999999993,702.1
2020-11-10 00:41:11,794.5,1147.2,0.0,-352.70000000000005,794.5
2020-11-10 00:41:12,887.6,1255.8,0.0,-368.19999999999993,887.6
2020-11-10 00:41:13,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:41:14,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:41:15,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:41:16,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:41:17,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:41:18,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:41:19,937.7,1257.6,0.0,-319.89999999999986,937.7
2020-11-10 00:46:43,114.1,423.5,382.7,-309.4,-268.6
2020-11-10 00:46:44,114.1,615.6,573.9,-501.5,-459.79999999999995
2020-11-10 00:46:45,114.1,806.3,766.8,-692.1999999999999,-652.6999999999999
2020-11-10 00:46:46,114.1,998.4,958.6,-884.3,-844.5
2020-11-10 00:46:47,114.1,1138.0,1107.9,-1023.9,-993.8000000000001
2020-11-10 00:46:48,114.1,1256.1,1239.4,-1142.0,-1125.3000000000002
2020-11-10 00:46:49,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:50,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:51,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:52,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:53,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:54,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:55,114.1,1257.8,1260.3,-1143.7,-1146.2
2020-11-10 00:46:59,111.4,420.9,380.8,-309.5,-269.4
2020-11-10 00:47:00,111.4,610.6,571.2,-499.20000000000005,-459.80000000000007
2020-11-10 00:47:01,111.4,800.3,762.4,-688.9,-651.0
2020-11-10 00:47:02,111.4,994.2,955.7,-882.8000000000001,-844.3000000000001
2020-11-10 00:47:03,111.4,1135.7,1105.9,-1024.3,-994.5000000000001
2020-11-10 00:47:04,111.4,1256.3,1237.3,-1144.8999999999999,-1125.8999999999999
2020-11-10 00:47:05,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:47:06,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:47:07,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:47:08,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:47:09,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:47:10,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:47:11,111.4,1258.1,1258.2,-1146.6999999999998,-1146.8
2020-11-10 00:54:58,324.4,0.0,197.2,324.4,127.19999999999999
2020-11-10 00:54:59,545.7,0.0,389.3,545.7,156.40000000000003
2020-11-10 00:55:00,766.3,0.0,580.1,766.3,186.19999999999993
2020-11-10 00:55:01,987.4,0.0,771.8,987.4,215.60000000000002
2020-11-10 00:55:02,1208.2,0.0,962.5,1208.2,245.70000000000005
2020-11-10 00:55:03,1370.9,0.0,1111.7,1370.9,259.20000000000005
2020-11-10 00:55:04,1504.4,0.0,1245.0,1504.4,259.4000000000001
2020-11-10 00:55:05,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:06,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:07,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:08,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:09,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:10,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:11,1519.8,0.0,1258.6,1519.8,261.20000000000005
2020-11-10 00:55:30,311.3,0.0,192.4,311.3,118.9
2020-11-10 00:55:31,530.3,0.0,382.5,530.3,147.79999999999995
2020-11-10 00:55:32,752.5,0.0,572.8,752.5,179.70000000000005
2020-11-10 00:55:33,975.0,0.0,764.2,975.0,210.79999999999995
2020-11-10 00:55:34,1196.2,0.0,955.7,1196.2,240.5
2020-11-10 00:55:35,1362.4,0.0,1105.3,1362.4,257.10000000000014
2020-11-10 00:55:36,1496.0,0.0,1238.1,1496.0,257.9000000000001
2020-11-10 00:55:37,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 00:55:38,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 00:55:39,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 00:55:40,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 00:55:41,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 00:55:42,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 00:55:43,1517.9,0.0,1259.3,1517.9,258.60000000000014
2020-11-10 01:18:53,354.5,0.0,221.9,354.5,132.6
2020-11-10 01:18:54,575.6,0.0,412.7,575.6,162.90000000000003
2020-11-10 01:18:55,799.4,0.0,604.4,799.4,195.0
2020-11-10 01:18:56,1020.5,0.0,794.7,1020.5,225.79999999999995
2020-11-10 01:18:57,1241.9,0.0,986.4,1241.9,255.5000000000001
2020-11-10 01:18:58,1393.3,0.0,1126.8,1393.3,266.5
2020-11-10 01:18:59,1524.6,0.0,1257.2,1524.6,267.39999999999986
2020-11-10 01:19:00,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:19:01,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:19:02,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:19:03,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:19:04,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:19:05,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:19:06,1526.4,0.0,1259.5,1526.4,266.9000000000001
2020-11-10 01:31:45,0.0,445.2,410.6,-445.2,-410.6
2020-11-10 01:31:46,0.0,635.3,600.2,-635.3,-600.2
2020-11-10 01:31:47,0.0,825.2,791.3,-825.2,-791.3
2020-11-10 01:31:48,0.0,1016.8,983.4,-1016.8,-983.4
2020-11-10 01:31:49,0.0,1154.3,1125.0,-1154.3,-1125.0
2020-11-10 01:31:50,0.0,1255.7,1257.1,-1255.7,-1257.1
2020-11-10 01:31:51,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:31:52,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:31:53,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:31:54,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:31:55,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:31:56,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:31:57,0.0,1257.4,1259.3,-1257.4,-1259.3
2020-11-10 01:39:06,1520.0,0.0,1259.0,1520.0,261.0
2020-11-10 01:39:54,1537.6,0.0,1259.0,1537.6,278.5999999999999
2020-11-10 01:40:10,1524.7,0.0,1259.4,1524.7,265.29999999999995
2020-11-10 01:50:41,1592.4,1255.3,1226.5,337.10000000000014,365.9000000000001
2020-11-10 01:50:42,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:43,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:44,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:45,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:46,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:47,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:48,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:49,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:50,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:51,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:52,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:53,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:54,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:55,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:56,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:57,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:58,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:50:59,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:00,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:01,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:02,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:03,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:04,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:05,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:06,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:07,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:08,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:09,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:10,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:11,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:12,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:13,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:14,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:15,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:16,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:17,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:18,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:19,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:20,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:21,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:22,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:23,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:24,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:25,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:26,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:27,1624.8,1256.7,1257.6,368.0999999999999,367.20000000000005
2020-11-10 01:51:28,1624.8,0.0,1257.6,1624.8,367.20000000000005
2020-11-10 02:57:15,354.5,0.0,330.3,354.5,24.19999999999999
2020-11-10 02:57:16,547.1,0.0,519.8,547.1,27.300000000000068
2020-11-10 02:57:17,737.2,0.0,708.0,737.2,29.200000000000045
2020-11-10 02:57:18,930.9,0.0,899.5,930.9,31.399999999999977
2020-11-10 02:57:19,1086.8,0.0,1068.2,1086.8,18.59999999999991
2020-11-10 02:57:20,1209.2,0.0,1200.9,1209.2,8.299999999999955
2020-11-10 02:57:21,1258.8,0.0,1258.2,1258.8,0.599999999999909
2020-11-10 02:57:22,1258.8,0.0,1258.2,1258.8,0.599999999999909
2020-11-10 02:57:23,1258.8,0.0,1258.2,1258.8,0.599999999999909
