ts,1492,1491,1493,diff_FlowValve008_1492 - 1491,diff_FlowValve008_1492 - 1493
2020-09-15 00:00:00,782.605,790.295,764.9150000000001,-7.689999999999941,17.68999999999994
2020-09-15 00:00:30,821.4400000000002,828.5049999999999,803.8449999999999,-7.0649999999997135,17.595000000000255
2020-09-15 00:01:00,886.1850000000001,891.4799999999999,868.78,-5.294999999999845,17.405000000000086
2020-09-15 00:01:30,861.1952380952382,866.8285714285715,840.0952380952381,-5.633333333333326,21.100000000000136
2020-09-15 00:02:00,817.1636363636363,823.4545454545455,798.9090909090909,-6.290909090909167,18.25454545454545
2020-09-15 00:02:30,813.3181818181819,819.9181818181819,792.5590909090909,-6.600000000000023,20.759090909091015
2020-09-15 00:03:00,740.3700000000001,746.8800000000001,720.4,-6.509999999999991,19.97000000000014
2020-09-15 00:03:30,758.3599999999999,763.95,739.1399999999999,-5.5900000000001455,19.220000000000027
2020-09-15 00:04:00,791.065,799.2850000000001,772.3900000000001,-8.220000000000027,18.674999999999955
2020-09-15 00:04:30,827.4,834.5600000000001,807.73,-7.160000000000082,19.66999999999996
2020-09-15 00:05:00,861.975,869.24,843.675,-7.264999999999986,18.300000000000068
2020-09-15 00:05:30,832.3761904761903,838.3047619047618,813.9047619047619,-5.928571428571445,18.47142857142842
2020-09-15 00:06:00,820.7681818181817,827.3136363636366,732.8000000000001,-6.545454545454959,87.96818181818162
2020-09-15 00:06:30,819.0318181818183,825.4454545454547,837.6190476190478,-6.413636363636442,-18.587229437229553
2020-09-15 00:07:00,745.6699999999998,751.4399999999999,724.905,-5.7700000000000955,20.764999999999873
2020-09-15 00:07:30,760.9399999999999,766.9100000000001,742.3650000000001,-5.970000000000141,18.574999999999818
2020-09-15 00:08:00,796.2499999999999,802.9849999999999,775.97,-6.735000000000014,20.27999999999986
2020-09-15 00:08:30,830.405,837.4849999999999,812.385,-7.079999999999927,18.019999999999982
2020-09-15 00:09:00,866.1150000000001,870.7549999999999,846.6249999999998,-4.639999999999759,19.49000000000035
2020-09-15 00:09:30,833.5809523809525,841.8380952380953,814.6380952380952,-8.257142857142867,18.942857142857292
2020-09-15 00:10:00,792.9636363636364,800.6818181818184,772.5636363636363,-7.718181818181961,20.40000000000009
2020-09-15 00:10:30,807.3318181818183,815.2818181818183,788.5045454545456,-7.949999999999932,18.82727272727277
2020-09-15 00:11:00,750.8550000000002,757.01,730.795,-6.154999999999745,20.060000000000286
2020-09-15 00:11:30,765.9750000000001,773.45,747.7850000000001,-7.474999999999909,18.190000000000055
2020-09-15 00:12:00,801.8150000000002,808.455,782.8199999999999,-6.639999999999873,18.995000000000232
2020-09-15 00:12:30,836.8149999999999,843.0000000000002,817.6499999999999,-6.1850000000002865,19.165000000000077
2020-09-15 00:13:00,871.415,876.8100000000001,852.8799999999999,-5.3950000000000955,18.535000000000082
2020-09-15 00:13:30,841.6047619047617,849.1714285714285,820.5523809523809,-7.56666666666672,21.052380952380872
2020-09-15 00:14:00,799.5045454545456,805.9318181818181,779.7,-6.427272727272566,19.80454545454552
2020-09-15 00:14:30,795.3772727272728,802.0954545454545,775.7136363636364,-6.71818181818162,19.663636363636442
2020-09-15 00:15:00,720.2449999999999,727.7249999999999,701.14,-7.480000000000018,19.104999999999905
2020-09-15 00:15:30,751.07,760.5699999999999,731.335,-9.499999999999886,19.735000000000014
2020-09-15 00:16:00,808.735,814.9749999999998,790.22,-6.239999999999782,18.514999999999986
2020-09-15 00:16:30,843.0450000000001,847.7050000000002,823.575,-4.660000000000082,19.470000000000027
2020-09-15 00:17:00,876.665,881.875,857.5500000000002,-5.210000000000036,19.11499999999978
2020-09-15 00:17:30,847.3380952380952,854.9809523809523,826.3761904761907,-7.64285714285711,20.96190476190452
2020-09-15 00:18:00,805.6,812.8045454545453,785.9318181818181,-7.2045454545452685,19.668181818181893
2020-09-15 00:18:30,799.0000000000001,806.5772727272728,781.05,-7.577272727272657,17.95000000000016
2020-09-15 00:19:00,724.9599999999999,732.1300000000001,704.3649999999998,-7.1700000000001864,20.59500000000014
2020-09-15 00:19:30,743.6750000000001,751.165,723.615,-7.489999999999895,20.06000000000006
2020-09-15 00:20:00,803.365,810.845,785.8649999999999,-7.480000000000018,17.500000000000114
2020-09-15 00:20:30,843.4950000000001,848.3399999999999,825.7450000000001,-4.8449999999998,17.75
2020-09-15 00:21:00,878.22,884.46,859.1700000000001,-6.240000000000009,19.049999999999955
2020-09-15 00:21:30,849.5857142857141,856.3095238095239,829.0571428571429,-6.723809523809791,20.528571428571126
2020-09-15 00:22:00,807.6318181818183,812.7545454545453,787.3363636363636,-5.122727272727047,20.29545454545473
2020-09-15 00:22:30,801.5136363636365,808.4818181818181,783.1409090909091,-6.96818181818162,18.37272727272739
2020-09-15 00:23:00,727.3500000000001,736.58,707.24,-9.229999999999905,20.110000000000127
2020-09-15 00:23:30,744.945,752.865,725.82,-7.919999999999959,19.125
2020-09-15 00:24:00,778.12,786.2299999999999,759.875,-8.1099999999999,18.245000000000005
2020-09-15 00:24:30,836.1,842.55,817.345,-6.449999999999932,18.754999999999995
2020-09-15 00:25:00,882.54,887.865,863.195,-5.3250000000000455,19.344999999999914
2020-09-15 00:25:30,852.3571428571429,858.3238095238094,831.1809523809524,-5.96666666666647,21.176190476190527
2020-09-15 00:26:00,810.5954545454545,816.1909090909091,792.4954545454547,-5.595454545454686,18.099999999999795
2020-09-15 00:26:30,805.3045454545453,813.431818181818,784.7363636363635,-8.127272727272725,20.568181818181756
